species,family,range.size,conserv.europe,conserv.eu,OWS_egg,OWS_larvae,OWS_pupae,OWS_adult,GEN_Average,GEN_Min,GEN_Max,GEN_Range,WSP_Female_average,WSP_Female_range,HSI,LEV_buried,LEV_ground_layer,LEV_field_layer,LEV_shrub_layer,LEV_canopy_layer,ELT_single,ELT_small_batch,ELT_large_batch,ALT_Min,ALT_Range,FM_Average,FM_Range,AFB_herb/flower,AFB_grass,AFB_shrub_flower,AFB_honeydew,AFB_sap,AFB_animal,AFB_mineral
Aglais_ichnusa,Nymphalidae,NA,NA,NA,0,0,0,1,2,2,2,0,47,10,0.577,NA,NA,NA,NA,NA,NA,NA,NA,700,1800,8,0,1,0,0,0,0,0,0
Aglais_io,Nymphalidae,1136,5,5,0,0,0,1,2,1,3,2,53.5,17,0.236,0,0,1,0,0,0,0,1,0,2500,7.5,3,1,0,1,0,0,1,1
Aglais_urticae,Nymphalidae,1271,5,5,0,0,0,1,2,1,3,2,48,10,0.707,0,0,1,0,0,0,0,1,0,3000,7.5,3,1,0,1,0,0,1,1
Agriades_aquilo,Lycaenidae,21,5,5,0,1,0,0,0.75,0.5,1,0.5,23,2,0.289,0,0,1,0,0,NA,NA,NA,0,900,3,0,NA,NA,NA,NA,NA,NA,NA
Agriades_dardanus,Lycaenidae,2,4,4,NA,NA,NA,NA,1,1,1,0,25,6,0.577,NA,NA,NA,NA,NA,NA,NA,NA,800,3400,4,0,NA,NA,NA,NA,NA,NA,NA
Agriades_glandon,Lycaenidae,45,5,5,0,1,0,0,1,1,1,0,23,2,0.354,0,0,1,0,0,NA,NA,NA,1600,1100,2,0,1,0,0,0,0,0,0
Agriades_optilete,Lycaenidae,480,5,5,0,1,0,0,1,1,1,0,25,8,0.218,0,1,1,0,0,1,0,0,0,2800,3,0,1,0,1,0,0,1,0
Agriades_orbitulus,Lycaenidae,63,5,5,0,1,0,0,1,1,1,0,26,4,0.258,NA,NA,NA,NA,NA,1,0,0,800,1900,3,0,0,0,0,0,0,0,1
Agriades_pyrenaicus,Lycaenidae,5,5,5,0,1,0,0,1,1,1,0,25,6,1,0,1,0,0,0,1,0,0,1800,400,NA,NA,1,0,0,0,0,0,1
Agriades_zullichi,Lycaenidae,2,2,2,0,1,0,0,1,1,1,0,23.5,3,1,1,1,1,0,0,1,0,0,2400,600,3,0,1,0,0,0,0,0,0
Anthocharis_cardamines,Pieridae,1245,5,5,0,0,1,0,1,1,1,0,40.5,15,0.101,0,0,1,0,0,1,0,0,0,2300,4,2,1,0,0,0,0,0,0
Anthocharis_damone,Pieridae,19,5,5,0,0,1,0,1,1,1,0,39.5,5,1,NA,NA,NA,NA,NA,1,0,0,0,1300,3,2,1,0,0,0,0,0,0
Anthocharis_euphenoides,Pieridae,131,5,5,0,0,1,0,1,1,1,0,37,6,0.577,0,0,1,0,0,1,0,0,0,1800,3.5,1,1,0,0,0,0,0,0
Anthocharis_gruneri,Pieridae,36,5,5,0,0,1,0,1,1,1,0,33,6,0.408,NA,NA,NA,NA,NA,1,0,0,0,2300,4,4,1,0,0,0,0,0,0
Apatura_ilia,Nymphalidae,528,5,5,0,1,0,0,1.5,1,2,1,68,8,0.267,0,0,0,1,1,1,0,0,50,1850,4.5,3,1,0,0,1,1,1,1
Apatura_iris,Nymphalidae,571,5,5,0,1,0,0,1,1,1,0,70,10,0.316,0,0,0,1,0,1,0,0,0,2300,2.5,1,1,0,0,1,1,1,1
Apatura_metis,Nymphalidae,47,5,5,0,1,0,0,1.5,1,2,1,62,4,1,0,0,0,1,1,1,0,0,0,650,4,0,1,0,1,1,1,1,1
Aphantopus_hyperantus,Nymphalidae,1002,5,5,0,1,0,0,1,1,1,0,38.5,7,0.063,0,1,1,0,0,1,1,0,0,2000,3,0,1,0,1,0,0,0,0
Aporia_crataegi,Pieridae,894,5,5,0,1,0,0,1,1,1,0,62.5,11,0.082,0,0,1,1,0,0,0,1,0,2600,3.5,1,1,1,0,1,0,0,1
Araschnia_levana,Nymphalidae,626,5,5,0,0,1,0,2,1,3,2,33.5,11,0.707,0,0,1,0,0,0,1,1,0,1700,5,2,1,0,1,0,0,0,0
Archon_apollinus,Papilionidae,13,4,5,0,0,1,0,1,1,1,0,57,6,0.577,0,0,1,0,0,0,1,0,0,900,3.5,3,1,0,0,0,0,0,0
Arethusana_arethusa,Nymphalidae,229,5,5,0,1,0,0,1,1,1,0,41,6,0.333,0,1,1,0,0,0,1,0,0,2300,3.5,1,1,0,0,0,0,0,0
Argynnis_laodice,Nymphalidae,100,5,4,0,1,0,0,1,1,1,0,55,10,0.707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,1,0,0,0,1
Argynnis_pandora,Nymphalidae,320,5,5,0,1,0,0,1.5,1,2,1,72,16,0.577,1,1,1,0,0,1,0,0,0,2600,5,4,1,0,0,0,0,1,1
Argynnis_paphia,Nymphalidae,1024,5,5,1,1,0,0,1,1,1,0,62,8,0.258,0,0,1,0,0,1,0,0,0,2300,4,2,1,0,1,1,0,0,1
Aricia_agestis,Lycaenidae,700,5,5,0,1,0,0,2,1,3,2,25,6,0.102,0,1,1,0,0,1,0,0,0,1900,7,0,1,0,0,0,0,1,1
Aricia_anteros,Lycaenidae,43,4,5,0,1,0,0,2,1,3,2,28,8,0.289,0,0,1,0,0,1,0,0,300,2100,5,0,1,0,0,0,0,0,0
Aricia_artaxerxes,Lycaenidae,435,5,5,0,1,0,0,1,1,1,0,27.5,7,0.056,0,1,1,0,0,1,0,0,0,2200,4,0,1,0,0,0,0,0,0
Aricia_cramera,Lycaenidae,138,5,5,1,1,1,1,2.5,2,3,1,25,6,0.112,0,1,1,0,0,1,0,0,0,2500,9.5,5,1,0,0,0,0,0,1
Aricia_montensis,Lycaenidae,32,5,5,0,1,0,0,1,1,1,0,27.5,7,0.183,NA,NA,NA,NA,NA,NA,NA,NA,0,2800,4,0,1,0,0,0,0,0,1
Aricia_morronensis,Lycaenidae,15,5,5,0,1,0,0,1.5,1,2,1,28,4,0.577,0,0,1,0,0,1,0,0,900,2100,4,0,1,0,0,0,0,0,0
Aricia_nicias,Lycaenidae,78,5,5,0,1,0,0,1,1,1,0,25.5,5,0.707,0,0,1,0,0,1,0,0,0,300,2,0,1,0,0,0,0,0,0
Azanus_jesous,Lycaenidae,,NA,NA,NA,NA,NA,NA,3,3,3,0,21.5,1,0.289,NA,NA,NA,NA,NA,1,0,0,0,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA
Azanus_ubaldus,Lycaenidae,NA,NA,NA,1,1,1,1,3,3,3,0,12.5,5,0.577,0,0,0,1,0,1,1,0,0,1500,NA,NA,0,0,1,0,0,0,0
Boloria_aquilonaris,Nymphalidae,478,5,5,0,1,0,0,1,1,1,0,36,8,0.289,0,1,1,0,0,1,0,0,100,1900,2,2,1,0,1,0,0,0,0
Boloria_chariclea,Nymphalidae,22,4,4,NA,NA,NA,NA,1,1,1,0,38,8,0.354,NA,NA,NA,NA,NA,NA,NA,NA,100,1300,1.5,1,1,0,0,0,0,0,0
Boloria_dia,Nymphalidae,554,5,5,0,1,0,0,2,1,3,2,33,2,0.447,0,0,1,0,0,1,0,0,0,2000,5.5,3,1,0,0,0,0,0,0
Boloria_eunomia,Nymphalidae,311,5,5,0,1,0,0,1,1,1,0,36.5,7,0.183,0,0,1,0,0,1,1,0,50,1850,3,0,1,0,0,0,0,0,0
Boloria_euphrosyne,Nymphalidae,963,5,5,0,1,0,0,1.5,1,2,1,36,10,0.577,0,0,1,0,0,1,0,0,0,2300,4,4,1,0,0,0,0,0,0
Boloria_freija,Nymphalidae,144,5,5,0,1,0,0,1,1,1,0,34.5,11,0.158,0,0,0,1,0,1,0,0,200,800,2.5,1,1,0,0,0,0,0,0
Boloria_frigga,Nymphalidae,145,5,5,0,1,0,0,1,1,1,0,42.5,11,0.707,0,0,0,1,0,1,0,0,100,350,2,0,1,0,0,0,0,0,0
Boloria_graeca,Nymphalidae,37,5,5,0,1,0,0,1,1,1,0,36,8,1,0,0,1,0,0,1,0,0,750,1850,4,2,1,0,0,0,0,0,0
Boloria_improba,Nymphalidae,6,2,2,0,1,0,0,1,1,1,0,32.5,7,0.5,0,0,1,0,0,NA,NA,NA,600,450,2,2,1,0,0,0,0,0,0
Boloria_napaea,Nymphalidae,112,5,5,0,1,0,0,1,1,1,0,39,6,0.354,0,1,1,0,0,1,0,0,0,2500,3,0,1,0,0,0,0,0,0
Boloria_pales,Nymphalidae,101,5,5,0,1,0,0,1,1,1,0,36,8,0.258,0,0,1,0,0,1,0,0,1500,1600,3,2,1,0,0,0,0,0,0
Boloria_polaris,Nymphalidae,18,3,3,0,1,0,0,1,1,1,0,41.5,5,0.204,NA,NA,NA,NA,NA,1,0,0,100,1300,2.5,3,NA,NA,NA,NA,NA,NA,NA
Boloria_selene,Nymphalidae,998,5,5,0,1,1,0,1.5,1,2,1,36.5,7,0.577,0,0,1,0,0,1,0,0,0,2200,3.5,3,1,0,0,0,0,0,1
Boloria_thore,Nymphalidae,79,5,5,0,1,0,0,1.25,1,1.5,1,44,6,0.577,0,0,1,0,0,1,0,0,300,1500,2,2,1,0,0,0,0,0,0
Boloria_titania,Nymphalidae,141,4,5,1,1,0,0,1,1,1,0,39.5,9,0.5,0,0,1,0,0,1,0,0,100,2000,3,0,1,0,0,0,0,0,0
Borbo_borbonica,Hesperiidae,1,NA,NA,0,1,0,0,2.5,2,3,1,29,2,0.333,0,1,1,0,0,1,0,0,0,100,4.5,1,1,0,0,0,0,0,0
Brenthis_daphne,Nymphalidae,323,5,5,1,1,0,0,1,1,1,0,47,10,0.447,0,0,0,1,0,1,0,0,0,2300,3.5,1,1,0,1,0,0,0,0
Brenthis_hecate,Nymphalidae,190,5,5,1,0,0,0,1,1,1,0,40,8,0.408,0,0,1,0,0,1,0,0,25,2275,3,0,1,0,0,0,0,0,0
Brenthis_ino,Nymphalidae,699,5,5,1,1,0,0,1,1,1,0,37,8,0.204,0,1,1,0,0,1,1,0,0,2000,2.5,1,1,0,1,0,0,0,0
Brintesia_circe,Nymphalidae,416,5,5,0,1,0,0,1,1,1,0,73,14,0.204,0,1,1,0,0,0,1,0,0,2300,4.5,3,1,0,0,0,1,1,1
Cacyreus_marshalli,Lycaenidae,33,NA,NA,0,1,1,0,3,3,3,0,23.5,5,1,NA,NA,NA,NA,NA,1,0,0,0,1500,8,0,1,0,0,0,0,0,0
Callophrys_avis,Lycaenidae,37,5,5,0,0,1,0,1,1,1,0,35.5,3,0.25,NA,NA,NA,NA,NA,1,0,0,100,900,3,0,1,0,0,0,0,0,0
Callophrys_rubi,Lycaenidae,1192,5,5,0,0,1,0,1.25,1,1.5,0.5,23,6,0.033,0,1,1,1,0,1,0,0,0,2300,6,2,1,0,1,1,0,0,0
Carcharodus_alceae,Hesperiidae,615,5,5,0,1,0,0,2.5,2,3,1,30,8,0.167,0,0,1,0,0,1,0,0,0,3000,8,4,1,0,0,0,0,0,0
Carcharodus_baeticus,Hesperiidae,56,5,5,0,1,0,0,2.5,2,3,1,30,4,0.408,0,1,1,0,0,1,0,0,500,1100,4,4,1,0,0,0,0,0,1
Carcharodus_floccifera,Hesperiidae,277,4,5,0,1,0,0,1.5,1,2,1,30,4,0.174,0,0,1,0,0,1,0,0,0,2000,4.5,1,1,0,0,0,0,0,1
Carcharodus_lavatherae,Hesperiidae,146,4,4,0,1,0,0,1,1,1,0,31,6,0.408,0,1,1,0,0,1,0,0,0,1600,4,2,1,0,0,0,0,0,1
Carcharodus_orientalis,Hesperiidae,54,5,5,NA,NA,NA,NA,2.5,2,3,1,29,2,0.577,NA,NA,NA,NA,NA,NA,NA,NA,0,2000,4.5,1,NA,NA,NA,NA,NA,NA,NA
Carcharodus_stauderi,Hesperiidae,2,NA,NA,NA,NA,NA,NA,3,3,3,0,30,4,0.289,NA,NA,NA,NA,NA,NA,NA,NA,700,1700,8,0,NA,NA,NA,NA,NA,NA,NA
Carcharodus_tripolinus,Hesperiidae,NA,5,5,NA,NA,NA,NA,3,3,3,0,30,8,1,NA,NA,NA,NA,NA,NA,NA,NA,0,2500,7,0,NA,NA,NA,NA,NA,NA,NA
Carterocephalus_palaemon,Hesperiidae,585,5,5,0,1,0,0,1,1,1,0,27,6,0.126,0,0,1,0,0,1,0,0,0,1800,2.5,1,1,0,0,0,0,0,0
Carterocephalus_silvicola,Hesperiidae,222,5,5,0,1,0,0,1,1,1,0,25,6,0.2,0,0,1,0,0,1,0,0,0,500,2.5,1,1,0,0,0,0,0,0
Catopsilia_florella,Pieridae,NA,NA,NA,1,1,1,1,3,3,3,0,50,10,NA,0,0,0,1,1,1,1,0,0,2000,11,2,NA,NA,NA,NA,NA,NA,NA
Celastrina_argiolus,Lycaenidae,1190,5,5,0,0,1,0,1.75,1,2.5,1.5,27,10,0.02,0,0,0,1,1,1,0,0,0,1900,7,0,1,0,1,1,0,0,0
Charaxes_jasius,Nymphalidae,127,5,5,0,1,0,0,1.5,1,2,1,79.5,7,0.102,0,0,0,0,1,1,1,0,0,2400,6.5,3,0,0,0,0,0,1,1
Chazara_briseis,Nymphalidae,353,4,4,0,1,0,0,1,1,1,0,55,26,0.333,0,1,1,0,0,1,1,0,0,2500,4,4,1,0,0,0,0,1,1
Chazara_prieuri,Nymphalidae,8,5,5,0,1,0,0,1,1,1,0,60,12,1,NA,NA,NA,NA,NA,NA,NA,NA,900,1100,2,0,1,0,0,0,0,0,0
Coenonympha_arcania,Nymphalidae,736,5,5,0,1,0,0,1.25,1,1.5,0.5,37,6,0.169,0,0,1,0,0,1,1,0,0,2300,3.5,3,1,0,1,0,0,0,0
Coenonympha_corinna,Nymphalidae,17,5,5,0,1,0,0,2.25,1.5,3,1.5,29,2,0.577,NA,NA,NA,NA,NA,1,0,0,0,2000,4.5,1,1,0,0,0,0,0,0
Coenonympha_dorus,Nymphalidae,107,5,5,0,1,0,0,1,1,1,0,31,6,0.169,0,0,1,0,0,1,0,0,100,1600,3,0,1,0,0,0,0,1,0
Coenonympha_gardetta,Nymphalidae,61,5,5,0,1,0,0,1,1,1,0,31,2,0.577,NA,NA,NA,NA,NA,1,1,0,800,2200,4,0,1,0,0,0,0,0,0
Coenonympha_glycerion,Nymphalidae,574,5,5,0,1,0,0,1.5,1,2,1,28,6,0.258,0,0,1,0,0,1,0,0,200,2200,3,0,1,0,0,0,0,1,0
Coenonympha_hero,Nymphalidae,173,3,3,0,1,0,0,1,1,1,0,30,4,0.154,0,0,1,0,0,1,0,0,0,800,3.5,3,1,0,1,0,0,0,0
Coenonympha_leander,Nymphalidae,27,5,5,0,1,0,0,1,1,1,0,33,2,0.5,0,0,1,0,0,1,0,0,0,2100,3.5,3,1,0,0,0,0,0,0
Coenonympha_oedippus,Nymphalidae,52,2,5,0,1,0,0,1,1,1,0,38,8,0.258,0,0,1,0,0,1,0,0,0,500,3,0,1,0,1,1,0,0,0
Coenonympha_orientalis,Nymphalidae,11,3,NA,NA,NA,NA,NA,1,1,1,0,30.5,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,800,1200,3,0,NA,NA,NA,NA,NA,NA,NA
Coenonympha_pamphilus,Nymphalidae,1371,5,5,0,1,0,0,2,1,3,2,28,10,0.096,0,0,1,0,0,1,0,0,0,2700,7,6,1,0,0,0,0,0,0
Coenonympha_rhodopensis,Nymphalidae,39,5,5,0,1,0,0,1,1,1,0,33,2,0.354,0,0,1,0,0,1,0,0,750,1750,2.5,1,1,0,0,0,0,0,0
Coenonympha_thyrsis,Nymphalidae,9,5,5,0,1,0,0,2,1,3,2,32,14,0.289,0,0,1,0,0,NA,NA,NA,0,1800,5,4,1,0,0,0,0,0,0
Coenonympha_tullia,Nymphalidae,553,5,5,0,1,0,0,1,1,1,0,31.5,11,0.115,0,0,1,0,0,1,0,0,0,1400,2,2,1,0,1,0,0,0,0
Colias_alfacariensis,Pieridae,494,5,5,0,1,0,0,2.5,2,3,1,43.5,3,0.167,0,1,1,0,0,1,0,0,0,2600,6.5,1,1,0,0,0,0,0,0
Colias_aurorina,Pieridae,14,5,5,0,1,0,0,1,1,1,0,55,2,0.577,0,0,1,0,0,1,0,0,450,1950,5,0,0,0,1,0,0,0,0
Colias_caucasica,Pieridae,13,5,5,0,1,0,0,1,1,1,0,52,4,0.707,0,0,1,0,0,1,0,0,900,1400,3,0,1,0,0,0,0,0,0
Colias_chrysotheme,Pieridae,36,3,3,0,1,0,0,2.5,2,3,1,44,8,0.408,0,1,1,0,0,1,0,0,0,1500,7,0,1,0,0,0,0,0,0
Colias_crocea,Pieridae,1028,5,5,0,1,1,0,3,3,3,0,48,12,0.041,0,0,1,0,0,1,0,0,0,3000,7,4,1,0,0,0,0,0,1
Colias_erate,Pieridae,138,5,5,0,1,1,0,2.5,2,3,1,49,6,0.113,NA,NA,NA,NA,NA,1,0,0,0,2000,4.5,1,NA,NA,NA,NA,NA,NA,NA
Colias_hecla,Pieridae,24,4,4,0,1,1,0,1,1,1,0,43,8,0.177,0,1,0,0,0,1,1,0,0,900,3,0,1,0,0,0,0,0,0
Colias_hyale,Pieridae,682,5,5,0,1,1,0,2.5,2,3,1,45,10,0.204,0,1,1,0,0,1,0,0,0,1800,6.5,1,1,0,0,0,0,0,0
Colias_myrmidone,Pieridae,94,2,1,0,1,0,0,2.5,2,3,1,47,6,0.316,0,0,1,0,0,1,0,0,0,500,5.5,1,1,0,0,0,0,0,0
Colias_palaeno,Pieridae,417,5,5,1,1,0,0,1,1,1,0,47,10,0.707,0,1,1,0,0,1,0,0,0,2500,3,0,1,0,1,0,0,0,0
Colias_phicomone,Pieridae,83,4,4,0,1,0,0,1.25,1,1.5,0.5,45,10,0.169,0,1,0,0,0,1,0,0,900,1600,3.5,1,1,0,0,0,0,0,0
Colias_tyche,Pieridae,6,5,5,0,1,0,0,1,1,1,0,45,10,0.289,0,1,0,0,0,1,0,0,0,700,3,0,1,0,0,0,0,0,0
Colotis_evagore,Pieridae,10,NA,NA,0,0,1,0,3,3,3,0,33,6,0.707,0,0,1,0,0,1,0,0,0,400,9,0,1,0,1,0,0,0,0
Cupido_alcetas,Lycaenidae,146,5,5,0,1,0,0,2.5,2,3,1,29,6,0.183,0,0,1,0,0,1,0,0,0,1000,7,0,1,0,0,0,0,0,0
Cupido_argiades,Lycaenidae,478,5,5,0,1,0,0,2,2,2,0,29,2,0.072,0,0,1,0,0,1,0,0,0,1600,6,0,1,0,0,0,0,0,0
Cupido_decoloratus,Lycaenidae,67,4,5,0,1,1,0,2.5,2,3,1,25,2,0.258,0,0,1,0,0,NA,NA,NA,0,1200,5,0,1,0,0,0,0,0,0
Cupido_lorquinii,Lycaenidae,17,5,5,0,0,1,0,1,1,1,0,25,6,1,0,0,1,0,0,NA,NA,NA,100,1900,3,0,1,0,0,0,0,0,1
Cupido_minimus,Lycaenidae,753,5,5,0,1,0,0,1.5,1,2,1,23,4,0.105,0,0,1,0,0,1,0,0,0,2800,6,0,1,0,0,0,0,1,1
Cupido_osiris,Lycaenidae,131,5,5,0,1,0,0,1.5,1,2,1,27,6,0.289,0,0,1,0,0,1,0,0,200,1800,6,0,1,0,0,0,0,0,1
Cyaniris_semiargus,Lycaenidae,930,5,5,0,1,0,0,1.25,1,1.5,0.5,29,8,0.169,0,0,1,0,0,1,0,0,0,2400,6,0,1,0,0,0,0,0,0
Cyclyrius_webbianus,Lycaenidae,NA,5,5,1,1,1,1,3,3,3,0,27.5,5,0.289,0,0,1,0,0,0,1,0,200,3300,NA,NA,1,0,0,0,0,0,0
Danaus_chrysippus,Nymphalidae,38,NA,NA,1,1,1,1,3,3,3,0,70,20,0.354,0,0,1,0,0,NA,NA,NA,0,1100,10.5,3,1,0,0,0,0,0,0
Danaus_plexippus,Nymphalidae,15,NA,NA,0,0,0,1,3,3,3,0,95.5,13,0.5,0,0,1,0,0,1,0,0,0,400,11,2,1,0,1,0,0,0,0
Erebia_aethiopella,Nymphalidae,10,5,5,0,1,0,0,1,1,1,0,38,4,1,NA,NA,NA,NA,NA,NA,NA,NA,1800,800,2,0,NA,NA,NA,NA,NA,NA,NA
Erebia_aethiops,Nymphalidae,326,5,5,0,1,0,0,1,1,1,0,47,10,0.043,0,1,1,0,0,1,0,0,0,2000,3.5,1,1,0,0,0,0,0,0
Erebia_albergana,Nymphalidae,65,5,5,0,1,0,0,1,1,1,0,43,6,0.333,NA,NA,NA,NA,NA,NA,NA,NA,900,1300,3,0,1,0,0,0,0,0,1
Erebia_calcarius,Nymphalidae,9,5,5,0,1,0,0,1,1,1,0,38,4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,1600,0,3,0,1,0,0,0,0,0,0
Erebia_cassioides,Nymphalidae,65,5,5,0,1,0,0,1,1,1,0,37,6,1,0,1,1,0,0,1,0,0,1500,1100,3,2,1,0,0,0,0,0,1
Erebia_christi,Nymphalidae,1,3,3,0,1,0,0,0.5,0.5,0.5,0,38,4,1,NA,NA,NA,NA,NA,NA,NA,NA,1300,800,2.5,1,1,0,0,0,0,0,1
Erebia_claudina,Nymphalidae,8,4,4,0,1,0,0,0.75,0.5,1,0.5,35,2,0.5,0,0,1,0,0,NA,NA,NA,1400,900,3,2,1,0,0,0,0,0,0
Erebia_disa,Nymphalidae,36,5,5,0,1,0,0,0.5,0.5,0.5,0,45.5,7,0.577,NA,NA,NA,NA,NA,NA,NA,NA,300,200,2,0,NA,NA,NA,NA,NA,NA,NA
Erebia_embla,Nymphalidae,123,5,5,NA,NA,NA,NA,1,1,1,0,47.5,7,0.224,0,0,1,0,0,NA,NA,NA,100,300,2,0,NA,NA,NA,NA,NA,NA,NA
