genus	species	preference	plant_species	plant_genus	plant_family
Andrena	Andrena aberrans	oligo_str	Chamaecytisus purpureus	Chamaecytisus	Fabaceae
Andrena	Andrena aberrans	oligo_str	Chamaecytisus ratisbonensis	Chamaecytisus	Fabaceae
Andrena	Andrena agilissima	oligo	Barbarea vulgaris	Barbarea	Brassicaceae
Andrena	Andrena agilissima	oligo	Brassica napus	Brassica	Brassicaceae
Andrena	Andrena agilissima	oligo	Brassica rapa	Brassica	Brassicaceae
Andrena	Andrena agilissima	oligo	Bunias orientalis	Bunias	Brassicaceae
Andrena	Andrena agilissima	oligo	Raphanus raphanistrum	Raphanus	Brassicaceae
Andrena	Andrena agilissima	oligo	Sinapis alba	Sinapis	Brassicaceae
Andrena	Andrena agilissima	oligo	Sinapis arvensis	Sinapis	Brassicaceae
Andrena	Andrena alfkenella	poly	Angelica sylvestris	Angelica	Apiaceae
Andrena	Andrena alfkenella	poly	Brassica napus	Brassica	Brassicaceae
Andrena	Andrena alfkenella	poly	Brassica rapa	Brassica	Brassicaceae
Andrena	Andrena alfkenella	poly	Cardamine pratensis	Cardamine	Brassicaceae
Andrena	Andrena alfkenella	poly	Cardaria draba	Cardaria	Brassicaceae
Andrena	Andrena alfkenella	poly	Daucus carota	Daucus	Apiaceae
Andrena	Andrena alfkenella	poly	Falcaria vulgaris	Falcaria	Apiaceae
Andrena	Andrena alfkenella	poly	Fragaria vesca	Fragaria	Rosaceae
Andrena	Andrena alfkenella	poly	Fragaria vesca	Fragaria	Rosaceae
Andrena	Andrena alfkenella	poly	Pastinaca sativa	Pastinaca	Apiaceae
Andrena	Andrena alfkenella	poly	Potentilla neumanniana	Potentilla	Rosaceae
Andrena	Andrena alfkenella	poly	Sinapis arvensis	Sinapis	Brassicaceae
Andrena	Andrena alfkenella	poly	Thlaspi arvense	Thlaspi	Brassicaceae
Andrena	Andrena alfkenella	poly	Veronica chamaedrys	Veronica	Plantaginaceae
Andrena	Andrena angustior	poly	Brassica napus	Brassica	Brassicaceae
Andrena	Andrena angustior	poly	Ranunculus acris	Ranunculus	Ranunculaceae
