species	parasitic	family
Andrena_barbilabris	0	Andrenidae
Andrena_bicolor	0	Andrenidae
Andrena_chrysosceles	0	Andrenidae
Andrena_cineraria	0	Andrenidae
Andrena_clarkella	0	Andrenidae
Andrena_dorsata	0	Andrenidae
Andrena_fulva	0	Andrenidae
Andrena_fuscipes	0	Andrenidae
Andrena_gravida	0	Andrenidae
Andrena_minutula	0	Andrenidae
Andrena_nasuta	0	Andrenidae
Andrena_nigroaenea	0	Andrenidae
Andrena_nitida	0	Andrenidae
Andrena_praecox	0	Andrenidae
Andrena_proxima	0	Andrenidae
Andrena_ruficrus	0	Andrenidae
Andrena_tibialis	0	Andrenidae
Andrena_vaga	0	Andrenidae
Andrena_ventralis	0	Andrenidae
Anthophora_plumipes	0	Apidae
Ceratina_cyanea	0	Apidae
Colletes_cunicularius	0	Colletidae
Colletes_daviesanus	0	Colletidae
Colletes_hederae	0	Colletidae
Colletes_nasutus	0	Colletidae
Colletes_succinctus	0	Colletidae
Epeoloides_coecutiens	1	Apidae
Epeolus_schummeli	1	Apidae
Halictus_quadricinctus	0	Halictidae
Hylaeus_nigritus	0	Colletidae
Hylaeus_signatus	0	Colletidae
Hylaeus_variegatus	0	Colletidae
Lasioglossum_albipes	0	Halictidae
Lasioglossum_calceatum	0	Halictidae
Lasioglossum_malachurum	0	Halictidae
Lasioglossum_pauxillum	0	Halictidae
Macropis_europaea	0	Melittidae
Macropis_fulvipes	0	Melittidae
Melecta_luctuosa	1	Apidae
Melitta_haemorrhoidalis	0	Melittidae
Melitta_leporina	0	Melittidae
Nomada_alboguttata	1	Apidae
Nomada_conjungens	1	Apidae
Nomada_fabriciana	1	Apidae
Nomada_ferruginata	1	Apidae
Nomada_flava	1	Apidae
Nomada_fulvicornis	1	Apidae
Nomada_goodeniana	1	Apidae
Nomada_leucophthalma	1	Apidae
Nomada_obscura	1	Apidae
Nomada_panzeri	1	Apidae
Nomada_rufipes	1	Apidae
Nomada_sexfasciata	1	Apidae
Nomada_signata	1	Apidae
Nomada_succincta	1	Apidae
Sphecodes_albilabris	1	Halictidae
Sphecodes_gibbus	1	Halictidae
Sphecodes_monilicornis	1	Halictidae
Sphecodes_pellucidus	1	Halictidae
Sphecodes_rufiventris	1	Halictidae
Isodontia_mexicana	2	Outgroup
Philanthus_triangulum	2	Outgroup
Podalonia_hirsuta	2	Outgroup
