Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
chromosome	cds	3	698	+	HEMEPE_00001		(5' truncated) ABC transporter ATP-binding protein	SO:0001217, UniRef:UniRef50_UPI0027DFE9A6
chromosome	cds	698	2110	+	HEMEPE_00002		ABC transporter permease	SO:0001217, UniRef:UniRef50_UPI00157B9B3C, UniRef:UniRef90_UPI00157B9B3C
chromosome	cds	2244	4067	+	HEMEPE_00003		MATE family efflux transporter	SO:0001217, UniRef:UniRef50_UPI0013C89CBC, UniRef:UniRef90_UPI0013C89CBC
chromosome	cds	4140	5048	-	HEMEPE_00004		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI00157A8E31, UniRef:UniRef90_UPI0030D12577
chromosome	cds	5370	5582	+	HEMEPE_00005		hypothetical protein	
chromosome	cds	5615	5959	+	HEMEPE_00006		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI0030CE9F90, UniRef:UniRef90_UPI0030CE9F90
chromosome	cds	6211	6708	+	HEMEPE_00007		(pseudo) hypothetical protein	SO:0001217, UniRef:UniRef50_UPI0030CF035D, UniRef:UniRef90_UPI0030CF035D
chromosome	cds	6905	7051	+	HEMEPE_00008		(pseudo) transposase	SO:0001217, UniRef:UniRef50_UPI00207989AD, UniRef:UniRef50_UPI00324F90F0, UniRef:UniRef90_UPI0030D2DA05
chromosome	cds	7275	8036	+	HEMEPE_00009		IS256 family transposase	GO:0004803, SO:0001217, UniRef:UniRef50_A0AAT9G8K7, UniRef:UniRef90_UPI00249003F1
chromosome	cds	8009	8140	+	HEMEPE_00010		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI00248F697D, UniRef:UniRef90_UPI00313B026A
chromosome	cds	8253	8480	+	HEMEPE_00011		hypothetical protein	
chromosome	cds	8800	10578	-	HEMEPE_00012		hypothetical protein	
chromosome	cds	10725	11528	-	HEMEPE_00013		IS256 family transposase	GO:0004803, SO:0001217, UniRef:UniRef50_K0P6G5, UniRef:UniRef90_UPI00210367AB
chromosome	cds	11678	11899	-	HEMEPE_00014		transposase	SO:0001217, UniRef:UniRef50_UPI0030CBB50C, UniRef:UniRef90_UPI00248F60C7
chromosome	cds	12094	13245	+	HEMEPE_00015		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI00313E5601
chromosome	cds	13411	13803	+	HEMEPE_00016	hpf	ribosome hibernation-promoting factor, HPF/YfiA family	GO:0005840, GO:0045182, RefSeq:WP_174480838.1, SO:0001217, UniParc:UPI00157AADD8, UniRef:UniRef100_UPI00157AADD8, UniRef:UniRef50_UPI00313DF280, UniRef:UniRef90_UPI00313DF280
chromosome	cds	13813	13956	-	HEMEPE_00017		hypothetical protein	
chromosome	cds	13968	14549	-	HEMEPE_00018		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI0030D0B7F7, UniRef:UniRef90_UPI0030D26B02
chromosome	cds	15222	15515	+	HEMEPE_00019		hypothetical protein	RefSeq:WP_174481144.1, SO:0001217, UniParc:UPI00157AB4B0, UniRef:UniRef100_UPI00157AB4B0, UniRef:UniRef50_UPI00157AB4B0, UniRef:UniRef90_UPI00157AB4B0
chromosome	cds	15539	17197	+	HEMEPE_00020		DAK2 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0J7NX10, UniRef:UniRef90_UPI00157A934A
chromosome	cds	17251	18066	+	HEMEPE_00021		Transmembrane protein	SO:0001217, UniRef:UniRef50_A0A846U0U6, UniRef:UniRef90_UPI00157AB11B
chromosome	cds	18432	18647	+	HEMEPE_00022		(pseudo) hypothetical protein	SO:0001217, UniRef:UniRef50_UPI0030D207EF, UniRef:UniRef50_UPI00313C8402, UniRef:UniRef90_UPI0030D207EF
chromosome	cds	18862	19866	+	HEMEPE_00023	argF	ornithine carbamoyltransferase	EC:2.1.3.3, GO:0004585, GO:0042450, KEGG:K00611, SO:0001217, UniRef:UniRef50_Q73P70, UniRef:UniRef90_UPI0030D112EC
chromosome	cds	20070	20708	+	HEMEPE_00024		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI002577C3B6, UniRef:UniRef90_UPI002577C3B6
